Institute ID,Name,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023,Rank_2024,Rank_2025,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022,Score_2023,Score_2024,Score_2025,TLR (100)_2017,TLR (100)_2018,TLR (100)_2019,TLR (100)_2020,TLR (100)_2021,TLR (100)_2022,TLR (100)_2023,TLR (100)_2024,TLR (100)_2025,RPC (100)_2017,RPC (100)_2018,RPC (100)_2019,RPC (100)_2020,RPC (100)_2021,RPC (100)_2022,RPC (100)_2023,RPC (100)_2024,RPC (100)_2025,GO (100)_2017,GO (100)_2018,GO (100)_2019,GO (100)_2020,GO (100)_2021,GO (100)_2022,GO (100)_2023,GO (100)_2024,GO (100)_2025,OI (100)_2017,OI (100)_2018,OI (100)_2019,OI (100)_2020,OI (100)_2021,OI (100)_2022,OI (100)_2023,OI (100)_2024,OI (100)_2025,PERCEPTION (100)_2017,PERCEPTION (100)_2018,PERCEPTION (100)_2019,PERCEPTION (100)_2020,PERCEPTION (100)_2021,PERCEPTION (100)_2022,PERCEPTION (100)_2023,PERCEPTION (100)_2024,PERCEPTION (100)_2025,SS_2018,SS_2019,SS_2021,SS_2022,SS_2023,SS_2024,SS_2025,FSR_2018,FSR_2019,FSR_2021,FSR_2022,FSR_2023,FSR_2024,FSR_2025,FQE_2018,FQE_2019,FQE_2021,FQE_2022,FQE_2023,FQE_2024,FQE_2025,FRU_2018,FRU_2019,FRU_2021,FRU_2022,FRU_2023,FRU_2024,FRU_2025,PU_2018,PU_2019,PU_2021,PU_2022,PU_2023,PU_2024,PU_2025,QP_2018,QP_2019,QP_2021,QP_2022,QP_2023,QP_2024,QP_2025,IPR_2018,IPR_2019,IPR_2021,IPR_2022,IPR_2023,IPR_2024,IPR_2025,FPPP_2018,FPPP_2019,FPPP_2021,FPPP_2022,FPPP_2023,FPPP_2024,FPPP_2025,GPHE_2018,GPHE_2019,GPHE_2021,GPHE_2022,GPHE_2023,GPHE_2024,GPHE_2025,GUE_2018,GUE_2019,GUE_2021,GUE_2022,GUE_2023,GUE_2024,GUE_2025,MS_2018,MS_2019,MS_2021,MS_2022,MS_2023,MS_2024,MS_2025,GPHD_2018,GPHD_2019,GPHD_2021,GPHD_2022,GPHD_2023,GPHD_2024,GPHD_2025,RD_2018,RD_2019,RD_2021,RD_2022,RD_2023,RD_2024,RD_2025,WD_2018,WD_2019,WD_2021,WD_2022,WD_2023,WD_2024,WD_2025,ESCS_2018,ESCS_2019,ESCS_2021,ESCS_2022,ESCS_2023,ESCS_2024,ESCS_2025,PCS_2018,PCS_2019,PCS_2021,PCS_2022,PCS_2023,PCS_2024,PCS_2025,PR_2018,PR_2019,PR_2021,PR_2022,PR_2023,PR_2024,PR_2025
IR-1-E-E-U-0014,International Institute of Information Technology,75.0,,,,,,,,,38.95,,,,,,,,,40.86,,,,,,,,,24.99,,,,,,,,,62.56,,,,,,,,,51.3,,,,,,,,,15.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-2-E-OE-U-0237,National Institute of Technology Surathkal,22.0,,,,,,,,,52.87,,,,,,,,,62.53,,,,,,,,,32.6,,,,,,,,,73.71,,,,,,,,,64.28,,,,,,,,,31.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-4-E-OEMA-U-0445,B.S. Abdur Rahman Institute of Science and Technology,89.0,,,,,,,,,36.97,,,,,,,,,62.6,,,,,,,,,9.92,,,,,,,,,42.97,,,,,,,,,62.83,,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-E-C-10342,Chandigarh Engineering College,,,,,147.0,139.0,,,,,,,,35.42,37.37,,,,,,,,60.56,64.49,,,,,,,,4.7,6.87,,,,,,,,46.08,43.96,,,,,,,,66.18,71.25,,,,,,,,0.0,0.54,,,,,,13.5,13.5,,,,,,26.87,28.82,,,,,,13.07,14.4,,,,,,7.12,7.77,,,,,,0.29,0.25,,,,,,0.35,0.58,,,,,,4.0,6.0,,,,,,0.06,0.05,,,,,,19.56,18.22,,,,,,15.0,15.0,,,,,,11.52,10.74,,,,,,0.0,0.0,,,,,,17.83,19.74,,,,,,25.59,28.61,,,,,,2.76,2.91,,,,,,20.0,20.0,,,,,,0.0,0.54,,,
IR-E-C-11015,Walchand College of Engineering,,,153.0,168.0,199.0,,,,,,,32.2,32.39,32.46,,,,,,,50.09,50.11,48.25,,,,,,,4.24,4.15,4.54,,,,,,,55.5,54.99,56.11,,,,,,,42.62,47.43,47.93,,,,,,,5.44,3.71,6.19,,,,,,8.8,9.5,,,,,,22.6,20.44,,,,,,9.88,9.54,,,,,,8.8,8.76,,,,,,1.84,2.19,,,,,,0.97,1.99,,,,,,0.0,0.0,,,,,,1.43,0.36,,,,,,28.07,28.22,,,,,,15.0,15.0,,,,,,12.42,12.65,,,,,,0.0,0.24,,,,,,0.27,0.69,,,,,,22.14,23.05,,,,,,0.2,4.19,,,,,,20.0,20.0,,,,,,5.44,6.19,,,,
IR-E-C-1262,B.M.S. College of Engineering,52.0,67,69.0,73.0,98.0,83.0,,,,42.86,40.32,39.67,40.35,39.13,41.71,,,,68.76,64.05,62.0,62.07,59.62,59.49,,,,5.48,7.95,8.01,11.92,12.33,15.53,,,,62.43,62.67,58.99,55.53,54.1,60.73,,,,68.13,51.06,53.02,52.58,51.93,52.29,,,,12.85,10.79,15.71,17.79,15.35,18.23,,,,11.93,13.76,13.7,14.5,,,,27.32,25.92,23.1,22.69,,,,13.25,12.78,12.48,11.82,,,,11.56,9.53,10.34,10.47,,,,2.08,3.03,4.67,5.17,,,,4.18,3.18,5.02,5.85,,,,1.0,1.0,2.0,4.0,,,,0.69,0.8,0.64,0.5,,,,31.1,27.73,23.18,29.84,,,,15.0,15.0,14.71,14.89,,,,16.47,15.96,15.22,14.97,,,,11.0,0.3,0.99,1.03,,,,8.1,7.86,6.72,6.42,,,,23.29,23.64,23.57,24.03,,,,2.66,1.51,1.65,1.84,,,,17.0,20.0,20.0,20.0,,,,10.79,15.71,15.35,18.23,,,
IR-E-C-1269,R.V. College of Engineering,49.0,58,63.0,70.0,77.0,89.0,96.0,99.0,,43.42,42.98,40.88,41.02,41.52,40.73,42.22,44.26,,69.03,66.43,63.58,63.06,63.87,61.27,63.55,67.53,,12.13,13.67,10.81,13.29,14.45,16.36,17.05,16.67,,60.62,63.12,60.99,59.79,57.01,55.3,57.16,58.98,,54.58,52.94,50.62,48.3,50.3,50.75,52.04,52.15,,14.86,10.37,13.06,13.2,15.86,12.99,14.03,19.9,,11.57,13.5,14.0,13.5,14.0,14.0,,30.0,27.52,26.98,25.91,27.15,27.03,,14.48,13.79,14.13,13.79,14.87,15.37,,10.37,8.77,8.76,8.07,7.54,11.14,,6.38,6.28,8.32,7.82,7.09,7.34,,6.39,3.76,5.63,6.02,6.62,6.76,,0.0,0.0,0.0,2.0,3.0,2.25,,0.9,0.77,0.5,0.52,0.34,0.31,,32.42,30.18,25.68,24.29,26.46,28.39,,15.0,15.0,14.78,15.0,15.0,15.0,,14.98,15.22,16.14,15.62,14.69,14.29,,0.72,0.59,0.4,0.38,1.02,1.3,,7.78,0.0,6.57,6.72,7.13,6.94,,22.97,23.24,23.18,23.12,22.62,22.74,,2.19,90.65,0.56,0.91,2.29,2.46,,20.0,20.0,20.0,20.0,20.0,20.0,,10.37,13.06,15.86,12.99,14.03,19.9,
IR-E-C-1291,Dr. Ambedkar Institute of Technology,,,163.0,,,,,,,,,31.91,,,,,,,,,48.42,,,,,,,,,1.55,,,,,,,,,59.9,,,,,,,,,46.54,,,,,,,,,2.81,,,,,,,,11.04,,,,,,,21.42,,,,,,,9.97,,,,,,,5.99,,,,,,,0.25,,,,,,,0.27,,,,,,,1.0,,,,,,,0.04,,,,,,,30.15,,,,,,,15.0,,,,,,,14.76,,,,,,,0.0,,,,,,,2.07,,,,,,,25.31,,,,,,,5.16,,,,,,,14.0,,,,,,,2.81,,,,,
IR-E-C-1297,Siddaganga Institute of Technology,72.0,78,79.0,91.0,101.0,97.0,,100.0,,39.36,37.72,37.98,38.23,38.81,40.24,,43.95,,64.56,64.23,60.4,60.33,59.38,61.65,,66.69,,5.41,9.26,11.37,13.44,15.43,14.04,,15.31,,59.89,52.89,56.07,54.58,54.24,55.39,,61.78,,59.86,48.79,50.84,50.17,49.56,51.19,,59.8,,4.0,2.09,1.63,1.63,5.55,13.39,,10.06,,10.81,9.66,9.84,10.35,,12.42,,29.96,28.74,27.92,29.7,,30.0,,13.12,13.5,13.72,14.32,,14.78,,10.33,8.5,7.91,7.27,,9.49,,2.31,3.48,5.74,5.48,,6.31,,4.27,4.16,7.3,8.16,,8.09,,2.0,3.0,2.0,0.0,,0.5,,0.67,0.73,0.39,0.39,,0.41,,26.19,29.41,29.1,29.93,,33.23,,14.73,14.03,12.57,12.59,,14.95,,11.97,12.34,11.95,12.12,,12.36,,0.0,0.3,0.62,0.75,,1.23,,6.89,5.66,4.09,3.38,,6.06,,24.75,24.7,24.87,25.26,,28.02,,3.15,0.48,0.6,2.55,,5.73,,14.0,20.0,20.0,20.0,,20.0,,2.09,1.63,5.55,13.39,,10.06,
IR-E-C-1331,M. S. Ramaiah Institute of Technology,45.0,60,64.0,59.0,65.0,67.0,78.0,75.0,75.0,44.35,42.25,40.54,43.74,43.74,45.17,45.99,48.33,49.26,67.06,64.56,62.87,65.53,66.25,66.1,65.79,67.96,70.38,13.09,13.01,8.61,13.98,16.84,19.82,22.31,25.27,28.02,65.46,61.42,60.49,62.74,60.05,61.92,61.93,62.62,62.77,62.97,57.03,56.32,55.31,53.7,55.17,55.66,56.0,56.51,9.07,9.96,13.66,18.15,14.31,14.94,15.97,22.36,15.5,11.58,12.14,12.33,12.57,13.75,14.4,14.5,29.25,28.29,29.77,28.83,28.34,27.13,28.93,13.29,13.63,14.82,15.57,15.27,14.99,15.52,10.44,8.82,9.94,9.12,8.43,11.44,11.43,4.11,4.37,7.07,7.06,7.6,10.98,11.41,8.15,3.85,8.31,9.84,9.35,10.98,11.02,0.5,0.0,1.0,2.5,5.0,3.0,5.0,0.26,0.38,0.46,0.42,0.35,0.3,0.59,30.47,31.02,31.09,33.09,33.3,33.63,33.25,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.64,13.89,12.35,11.89,11.65,12.06,12.56,0.32,0.59,1.62,1.95,1.98,1.94,1.96,9.7,9.24,8.34,8.46,8.74,9.15,9.21,24.66,24.44,23.55,24.93,25.19,24.86,24.91,2.67,2.64,1.82,1.78,1.73,1.99,2.39,20.0,20.0,20.0,20.0,20.0,20.0,20.0,9.96,13.66,14.31,14.94,15.97,22.36,15.5
